"Kecamatan" "Kabupaten" "Provinsi" "Region" "WARNING"
"CIPEUNDEUY" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"CIPEUNDEUY" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"CIPICUNG" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "235"
"CIPONGKOR" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"CIPUNAGARA" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"CIRANJANG" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIREUNGHAS" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CISAAT" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CISAGA" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CISALAK" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"CISARUA" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"CISARUA" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CISARUA" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"CISAYONG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CISEENG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CISEWU" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CISITU" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"CISOLOK" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CISOMPET" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CITEUREUP" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIWARINGIN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "235.8"
"CIWARU" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "236.8"
"CIWIDEY" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"COBLONG" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"COMPRENG" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"CONGGEANG" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "235.5"
"CUGENANG" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CULAMEGA" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CURUG KEMBAR" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CUSURUPAN" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"DARANGDAN" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"DARMA" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "239 Naik 9.1"
"DAWUAN" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "235.7"
"DAWUAN" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"DAYEUH KOLOT" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"DEPOK" "KAB. CIREBON" "JAWA BARAT" "JAWA" "236.9"
"DRAMAGA" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"DRMARAJA" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"DUKUPUNTANG" "KAB. CIREBON" "JAWA BARAT" "JAWA" "233.3"
"GABUS WETAN" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "235.9"
"GANEAS" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"GARAWANGI" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "235.1"
"GARUT KOTA" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"GEBANG" "KAB. CIREBON" "JAWA BARAT" "JAWA" "231 Naik 37.5"
"GEDEBAGE" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"GEGERBITUNG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"GEGESIK" "KAB. CIREBON" "JAWA BARAT" "JAWA" "232.2"
"GEKBRONG" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"GEMPOL" "KAB. CIREBON" "JAWA BARAT" "JAWA" "235.8"
"GREGED" "KAB. CIREBON" "JAWA BARAT" "JAWA" "234.3"
"GUMULUNG" "KAB. CIREBON" "JAWA BARAT" "JAWA" "234.2 Naik 50"
"GUNUNG GURUH" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"GUNUNG JATI" "KAB. CIREBON" "JAWA BARAT" "JAWA" "230.7"
"GUNUNG SINDUR" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"GUNUNGHALU" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"GUNUNGPUTRI" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"GUNUNGTANJUNG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"HARJAMUKTI" "KOTA CIREBON" "JAWA BARAT" "JAWA" "232.5"
"HAURGEULIS" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "238.8"
"HAURWANGI" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"IBUN" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"INDIHIANG" "KOTA TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"INDRAMAYU" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "238.1"
"JALAKSANA" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "236.3"
"JALANCAGAK" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"JAMANIS" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"JAMBLANG" "KAB. CIREBON" "JAWA BARAT" "JAWA" "233.8"
"JAMPANG KULON" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"JAMPANG TENGAH" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"JAPARA" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "237 Naik 0"
"JASINGA" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"JATI BARANG" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "233.7"
"JATI TUJUH" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "231.4"
"JATIASIH" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"JATILUHUR" "KAB. PURWAKARTA" "JAWA BARAT" "JAWA" "No Warning"
"JATINAGARA" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"JATINUNGGAL" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"JATISAMPURNA" "KOTA BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"JATISARI" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"JATIWANGI" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "233.5 Naik 40"
"JATIWARAS" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"JAYAKERTA" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
