1;2;3;4;5;6;7;;;;8;;9;;
sort;longitude;latitude;area;radius minimum;radius maximum;length;elongation;eccentricityboundingbox;solidity;eccentricity eigen;calliper;rectangularity;circularityharalick;convexity
79;108,76 ;-5,23 ;0,00 ;0,90 ;2,28 ;0,09 ;0,50 ;0,50 ;1,00 ;0,16 ;0,09 ;0,67 ;4,25695543;0,718320606
80;149,77 ;-5,22 ;0,02 ;2,54 ;6,16 ;0,22 ;0,37 ;0,63 ;1,00 ;0,30 ;0,22 ;0,60 ;4,172333686;0,798834523
81;126,15 ;-5,20 ;0,01 ;0,92 ;3,81 ;0,15 ;0,39 ;0,61 ;1,00 ;0,30 ;0,15 ;0,73 ;6,544282558;0,924206585
82;108,31 ;-5,18 ;0,01 ;1,58 ;2,73 ;0,11 ;0,17 ;0,83 ;1,00 ;0,62 ;0,11 ;0,65 ;5,876011307;0,93203954
83;125,27 ;-4,87 ;0,34 ;3,58 ;26,40 ;0,95 ;0,48 ;0,52 ;1,00 ;0,18 ;0,97 ;0,71 ;6,354959585;0,955358492
84;125,85 ;-5,10 ;0,01 ;0,91 ;3,77 ;0,14 ;0,56 ;0,44 ;1,00 ;0,20 ;0,14 ;0,72 ;2,367181775;0,939765586
85;125,65 ;-5,07 ;0,00 ;1,00 ;2,00 ;0,08 ;0,45 ;0,55 ;1,00 ;0,37 ;0,08 ;0,69 ;4,508484598;0,792883095
86;116,77 ;-4,01 ;3,13 ;3,13 ;73,66 ;2,48 ;0,25 ;0,75 ;1,00 ;0,54 ;2,59 ;0,68 ;7,050039781;0,870758932
87;119,18 ;-4,75 ;0,17 ;4,43 ;16,74 ;0,63 ;0,47 ;0,53 ;1,00 ;0,22 ;0,64 ;0,80 ;4,721077101;0,808707113
88;127,44 ;-4,74 ;0,15 ;0,61 ;16,95 ;0,62 ;0,40 ;0,60 ;1,00 ;0,24 ;0,63 ;0,63 ;4,057829362;0,934900552
89;115,72 ;-4,79 ;0,01 ;0,77 ;5,06 ;0,20 ;0,60 ;0,40 ;1,00 ;0,09 ;0,20 ;0,63 ;2,757269661;0,956704773
90;149,35 ;-4,60 ;0,11 ;3,72 ;11,69 ;0,41 ;0,19 ;0,81 ;1,00 ;0,54 ;0,42 ;0,78 ;10,45664373;0,759538117
91;149,75 ;-4,63 ;0,07 ;5,87 ;9,15 ;0,34 ;0,23 ;0,77 ;1,00 ;0,70 ;0,35 ;0,78 ;9,246128369;0,918031305
92;90,88 ;-4,70 ;0,01 ;0,88 ;4,36 ;0,16 ;0,31 ;0,69 ;1,00 ;0,41 ;0,16 ;0,69 ;4,824021734;0,792871226
93;91,02 ;-4,62 ;0,00 ;0,63 ;2,00 ;0,07 ;0,12 ;0,88 ;1,00 ;0,59 ;0,07 ;0,57 ;3,721307205;0,711485983
94;90,92 ;-4,55 ;0,00 ;0,42 ;2,97 ;0,11 ;0,59 ;0,41 ;1,00 ;0,10 ;0,11 ;0,51 ;4,932396144;0,641418585
95;119,10 ;-4,36 ;0,07 ;2,41 ;10,63 ;0,40 ;0,46 ;0,54 ;1,00 ;0,20 ;0,40 ;0,76 ;4,832136888;0,913977254
96;124,78 ;-4,39 ;0,02 ;2,50 ;4,70 ;0,17 ;0,24 ;0,76 ;1,00 ;0,53 ;0,17 ;0,71 ;5,447665274;0,832926352
97;126,24 ;-4,27 ;0,01 ;1,14 ;5,50 ;0,19 ;0,37 ;0,63 ;1,00 ;0,29 ;0,19 ;0,65 ;5,226421554;0,827455038
98;149,84 ;-4,12 ;0,06 ;1,37 ;10,61 ;0,41 ;0,53 ;0,47 ;1,00 ;0,23 ;0,41 ;0,76 ;3,94557289;0,83936389
99;148,89 ;-3,87 ;0,09 ;1,94 ;13,34 ;0,49 ;0,40 ;0,60 ;1,00 ;0,34 ;0,49 ;0,63 ;4,528189525;0,9763326
100;149,17 ;-3,99 ;0,00 ;0,46 ;2,79 ;0,11 ;0,44 ;0,56 ;1,00 ;0,38 ;0,11 ;0,71 ;3,299343647;0,699016975
101;123,87 ;-3,94 ;0,02 ;2,03 ;4,86 ;0,19 ;0,29 ;0,71 ;1,00 ;0,32 ;0,19 ;0,69 ;5,429981514;0,85616989
102;124,14 ;-3,96 ;0,01 ;1,50 ;2,57 ;0,10 ;0,16 ;0,84 ;1,00 ;0,54 ;0,10 ;0,67 ;8,042781032;0,839708271
103;148,60 ;-3,93 ;0,00 ;0,92 ;3,00 ;0,12 ;0,64 ;0,36 ;1,00 ;0,13 ;0,12 ;0,67 ;2,995644082;0,773179713
104;149,67 ;-3,66 ;0,27 ;1,83 ;20,22 ;0,76 ;0,24 ;0,76 ;1,00 ;0,36 ;0,77 ;0,60 ;4,202664871;0,813012735
105;126,47 ;-3,82 ;0,06 ;2,88 ;9,67 ;0,37 ;0,38 ;0,62 ;1,00 ;0,44 ;0,37 ;0,67 ;4,26205251;0,80565326
106;148,53 ;-3,46 ;0,27 ;4,55 ;21,56 ;0,82 ;0,46 ;0,54 ;1,00 ;0,30 ;0,84 ;0,73 ;3,77079721;0,834375935
107;107,54 ;-3,75 ;0,00 ;0,95 ;2,87 ;0,11 ;0,55 ;0,45 ;1,00 ;0,12 ;0,11 ;0,58 ;3,537509254;0,768964401
